epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
ENSG00000273217.1_x,ENSG00000273217.1_x,ENSG00000273217.1_x,ENSG00000273217.1_x,ENSG00000273217.1_x,ENSG00000273217.1_x,ENSG00000273217.1_x,ENSG00000273217.1_x,ENSG00000273217.1_x,ENSG00000273217.1_x
ENSG00000277586.3_x,ENSG00000277586.3_x,ENSG00000135903.20_x,ENSG00000135903.20_x,ENSG00000135903.20_x,ENSG00000135903.20_x,ENSG00000135903.20_x,ENSG00000135903.20_x,ENSG00000135903.20_x,ENSG00000135903.20_x
ENSG00000164093.17_x,ENSG00000135903.20_x,ENSG00000106031.9_x,ENSG00000106031.9_x,ENSG00000106031.9_x,ENSG00000106031.9_x,ENSG00000106031.9_x,ENSG00000106031.9_x,ENSG00000106031.9_x,ENSG00000106031.9_x
ENSG00000135903.20_x,ENSG00000164093.17_x,ENSG00000277586.3_x,ENSG00000121742.19_x,ENSG00000156076.10_x,ENSG00000156076.10_x,ENSG00000156076.10_x,ENSG00000125384.7_x,ENSG00000125384.7_x,ENSG00000087510.7_x
ENSG00000106031.9_x,ENSG00000106031.9_x,ENSG00000121742.19_x,ENSG00000156076.10_x,ENSG00000121742.19_x,ENSG00000121742.19_x,ENSG00000125384.7_x,ENSG00000156076.10_x,ENSG00000087510.7_x,ENSG00000156076.10_x
ENSG00000147889.17_x,ENSG00000156076.10_x,ENSG00000156076.10_x,ENSG00000154478.4_x,ENSG00000154478.4_x,ENSG00000154478.4_x,ENSG00000121742.19_x,ENSG00000087510.7_x,ENSG00000156076.10_x,ENSG00000125384.7_x
ENSG00000156076.10_x,ENSG00000154478.4_x,ENSG00000154478.4_x,ENSG00000164093.17_x,ENSG00000125384.7_x,ENSG00000125384.7_x,ENSG00000154478.4_x,ENSG00000121742.19_x,ENSG00000180818.5_x,ENSG00000180818.5_x
ENSG00000154478.4_x,ENSG00000147889.17_x,ENSG00000164093.17_x,ENSG00000277586.3_x,ENSG00000163623.9_x,ENSG00000153266.13_x,ENSG00000153266.13_x,ENSG00000154478.4_x,ENSG00000154478.4_x,ENSG00000154478.4_x
ENSG00000154975.14_x,ENSG00000121742.19_x,ENSG00000147889.17_x,ENSG00000163623.9_x,ENSG00000153266.13_x,ENSG00000163623.9_x,ENSG00000087510.7_x,ENSG00000153266.13_x,ENSG00000153266.13_x,ENSG00000153266.13_x
ENSG00000112319.19_x,ENSG00000112319.19_x,ENSG00000112319.19_x,ENSG00000125384.7_x,ENSG00000087510.7_x,ENSG00000087510.7_x,ENSG00000163623.9_x,ENSG00000180818.5_x,ENSG00000121742.19_x,ENSG00000121742.19_x
ENSG00000121742.19_x,ENSG00000154975.14_x,ENSG00000154975.14_x,ENSG00000087510.7_x,ENSG00000164093.17_x,ENSG00000180818.5_x,ENSG00000180818.5_x,ENSG00000163623.9_x,ENSG00000163623.9_x,ENSG00000163623.9_x
ENSG00000180818.5_x,ENSG00000180818.5_x,ENSG00000180818.5_x,ENSG00000180818.5_x,ENSG00000180818.5_x,ENSG00000164093.17_x,ENSG00000184058.14_x,ENSG00000184058.14_x,ENSG00000184058.14_x,ENSG00000184058.14_x
ENSG00000253293.5_x,ENSG00000253293.5_x,ENSG00000189431.8_x,ENSG00000153266.13_x,ENSG00000277586.3_x,ENSG00000184058.14_x,ENSG00000164093.17_x,ENSG00000213889.10_x,ENSG00000115844.11_x,ENSG00000102924.12_x
ENSG00000189431.8_x,ENSG00000189431.8_x,ENSG00000163623.9_x,ENSG00000147889.17_x,ENSG00000147889.17_x,ENSG00000277586.3_x,ENSG00000213889.10_x,ENSG00000164093.17_x,ENSG00000102924.12_x,ENSG00000115844.11_x
ENSG00000106004.5_x,ENSG00000106004.5_x,ENSG00000253293.5_x,ENSG00000154975.14_x,ENSG00000102924.12_x,ENSG00000102924.12_x,ENSG00000115844.11_x,ENSG00000115844.11_x,ENSG00000213889.10_x,ENSG00000164093.17_x
ENSG00000136574.17_x,ENSG00000136574.17_x,ENSG00000087510.7_x,ENSG00000112319.19_x,ENSG00000154975.14_x,ENSG00000213889.10_x,ENSG00000102924.12_x,ENSG00000102924.12_x,ENSG00000164093.17_x,ENSG00000213889.10_x
ENSG00000182968.5_x,ENSG00000182968.5_x,ENSG00000102924.12_x,ENSG00000189431.8_x,ENSG00000136574.17_x,ENSG00000136574.17_x,ENSG00000136574.17_x,ENSG00000136574.17_x,ENSG00000136574.17_x,ENSG00000168348.4_x
ENSG00000176165.12_x,ENSG00000120093.11_x,ENSG00000136574.17_x,ENSG00000102924.12_x,ENSG00000189431.8_x,ENSG00000115844.11_x,ENSG00000168348.4_x,ENSG00000168348.4_x,ENSG00000168348.4_x,ENSG00000136574.17_x
ENSG00000120093.11_x,ENSG00000102924.12_x,ENSG00000182968.5_x,ENSG00000253293.5_x,ENSG00000112319.19_x,ENSG00000147889.17_x,ENSG00000277586.3_x,ENSG00000204335.4_x,ENSG00000204335.4_x,ENSG00000204335.4_x
