epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
ENSG00000164047.6,ENSG00000164047.6,ENSG00000164047.6,ENSG00000164047.6,ENSG00000164047.6,ENSG00000164047.6,ENSG00000164047.6,ENSG00000164047.6,ENSG00000164047.6,ENSG00000164047.6
ENSG00000188257.11,ENSG00000188257.11,ENSG00000188257.11,ENSG00000188257.11,ENSG00000188257.11,ENSG00000166426.8,ENSG00000166426.8,ENSG00000166426.8,ENSG00000166426.8,ENSG00000166426.8
ENSG00000163221.9,ENSG00000163221.9,ENSG00000163221.9,ENSG00000166426.8,ENSG00000166426.8,ENSG00000188257.11,ENSG00000121905.10,ENSG00000121905.10,ENSG00000121905.10,ENSG00000121905.10
ENSG00000215018.10,ENSG00000215018.10,ENSG00000215018.10,ENSG00000215018.10,ENSG00000215018.10,ENSG00000121905.10,ENSG00000198732.11,ENSG00000198732.11,ENSG00000198732.11,ENSG00000198732.11
ENSG00000184254.17,ENSG00000184254.17,ENSG00000166426.8,ENSG00000163221.9,ENSG00000198732.11,ENSG00000198732.11,ENSG00000188257.11,ENSG00000106366.9,ENSG00000167641.11,ENSG00000167641.11
ENSG00000166426.8,ENSG00000166426.8,ENSG00000184254.17,ENSG00000184254.17,ENSG00000121905.10,ENSG00000215018.10,ENSG00000122585.8,ENSG00000167641.11,ENSG00000106366.9,ENSG00000106366.9
ENSG00000163993.7,ENSG00000163993.7,ENSG00000163993.7,ENSG00000198732.11,ENSG00000163221.9,ENSG00000122585.8,ENSG00000106366.9,ENSG00000132164.10,ENSG00000132164.10,ENSG00000112715.24
ENSG00000211660.3,ENSG00000211660.3,ENSG00000211660.3,ENSG00000266964.5,ENSG00000184254.17,ENSG00000266964.5,ENSG00000132164.10,ENSG00000122585.8,ENSG00000169919.17,ENSG00000122585.8
ENSG00000143546.10,ENSG00000143546.10,ENSG00000266964.5,ENSG00000163993.7,ENSG00000266964.5,ENSG00000132164.10,ENSG00000215018.10,ENSG00000169919.17,ENSG00000122585.8,ENSG00000169919.17
ENSG00000148346.12,ENSG00000148346.12,ENSG00000148346.12,ENSG00000148346.12,ENSG00000163993.7,ENSG00000077279.19,ENSG00000169919.17,ENSG00000215018.10,ENSG00000112715.24,ENSG00000132164.10
ENSG00000173432.12,ENSG00000266964.5,ENSG00000143546.10,ENSG00000211660.3,ENSG00000122585.8,ENSG00000169919.17,ENSG00000167641.11,ENSG00000112715.24,ENSG00000166147.14,ENSG00000166147.14
ENSG00000146648.18,ENSG00000173432.12,ENSG00000198732.11,ENSG00000143546.10,ENSG00000105409.19,ENSG00000184254.17,ENSG00000077279.19,ENSG00000166147.14,ENSG00000077279.19,ENSG00000166394.15
ENSG00000104918.8,ENSG00000146648.18,ENSG00000173432.12,ENSG00000104918.8,ENSG00000077279.19,ENSG00000163221.9,ENSG00000266964.5,ENSG00000077279.19,ENSG00000166394.15,ENSG00000077279.19
ENSG00000266964.5,ENSG00000104918.8,ENSG00000104918.8,ENSG00000105409.19,ENSG00000148346.12,ENSG00000105409.19,ENSG00000106236.4,ENSG00000067048.17,ENSG00000067048.17,ENSG00000135838.13
ENSG00000102837.7,ENSG00000118113.12,ENSG00000146648.18,ENSG00000077279.19,ENSG00000132164.10,ENSG00000106236.4,ENSG00000105409.19,ENSG00000262655.4,ENSG00000215018.10,ENSG00000163873.10
ENSG00000166741.7,ENSG00000166741.7,ENSG00000118113.12,ENSG00000173432.12,ENSG00000211660.3,ENSG00000163993.7,ENSG00000262655.4,ENSG00000188257.11,ENSG00000135838.13,ENSG00000011347.10
ENSG00000164308.17,ENSG00000198732.11,ENSG00000105409.19,ENSG00000121905.10,ENSG00000143546.10,ENSG00000106366.9,ENSG00000112715.24,ENSG00000106236.4,ENSG00000163873.10,ENSG00000067048.17
ENSG00000123560.14,ENSG00000102837.7,ENSG00000077279.19,ENSG00000118113.12,ENSG00000104918.8,ENSG00000148346.12,ENSG00000067048.17,ENSG00000266964.5,ENSG00000011347.10,ENSG00000073792.16
